   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
---------------------------------------------------------
    C1    C10 -104.1007  0.001  -104.962 -103.2394   True
    C1    C11 -105.2567  0.001  -106.118 -104.3955   True
    C1    C12 -104.6203  0.001 -105.4816  -103.759   True
    C1    C13  -104.326  0.001 -105.1873 -103.4647   True
    C1    C14 -104.7312  0.001 -105.5925 -103.8699   True
    C1    C15 -104.7273  0.001 -105.5886  -103.866   True
    C1    C16 -104.2895  0.001 -105.1508 -103.4282   True
    C1    C17 -105.9612  0.001 -106.8225 -105.0999   True
    C1    C18 -105.6198  0.001 -106.4811 -104.7585   True
    C1    C19 -105.6246  0.001 -106.4859 -104.7633   True
    C1     C2  -15.9643  0.001  -16.8256   -15.103   True
    C1    C20 -106.0667  0.001  -106.928 -105.2054   True
    C1    C21 -106.3134  0.001 -107.1747 -105.4521   True
    C1    C22 -105.9845  0.001 -106.8458 -105.1232   True
    C1    C23 -105.7135  0.001 -106.5748 -104.8523   True
    C1    C24 -106.0767  0.001  -106.938 -105.2154   True
    C1    C25 -105.7945  0.001 -106.6558 -104.9332   True
    C1    C26 -106.2105  0.001 -107.0718 -105.3492   True
    C1    C27 -106.3552  0.001 -107.2165 -105.4939   True
    C1     C3  -31.6573  0.001  -32.5186   -30.796   True
    C1     C4  -71.4217  0.001   -72.283  -70.5604   True
    C1     C5   18.1067  0.001   17.2454    18.968   True
    C1     C6     7.859  0.001    6.9977    8.7203   True
    C1     C7  -18.3253  0.001  -19.1866   -17.464   True
    C1     C8   -3.3346  0.001   -4.1959   -2.4733   True
    C1     C9   -23.769  0.001  -24.6303  -22.9077   True
   C10    C11    -1.156  0.001   -2.0173   -0.2948   True
   C10    C12   -0.5196 0.7799   -1.3809    0.3417  False
   C10    C13   -0.2253    0.9   -1.0866     0.636  False
   C10    C14   -0.6305 0.4759   -1.4918    0.2308  False
   C10    C15   -0.6266 0.4871   -1.4879    0.2347  False
   C10    C16   -0.1888    0.9   -1.0501    0.6725  False
   C10    C17   -1.8605  0.001   -2.7218   -0.9992   True
   C10    C18   -1.5191  0.001   -2.3804   -0.6578   True
   C10    C19   -1.5239  0.001   -2.3852   -0.6626   True
   C10     C2   88.1364  0.001   87.2751   88.9977   True
   C10    C20    -1.966  0.001   -2.8273   -1.1047   True
   C10    C21   -2.2127  0.001    -3.074   -1.3514   True
   C10    C22   -1.8838  0.001   -2.7451   -1.0225   True
