   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
---------------------------------------------------------
    C1    C10 -104.3396  0.001 -104.9508 -103.7285   True
    C1    C11 -105.4029  0.001 -106.0141 -104.7918   True
    C1    C12 -105.5118  0.001  -106.123 -104.9007   True
    C1    C13 -104.6286  0.001 -105.2397 -104.0174   True
    C1    C14 -104.9212  0.001 -105.5323   -104.31   True
    C1    C15 -104.8996  0.001 -105.5108 -104.2885   True
    C1    C16 -105.3431  0.001 -105.9543  -104.732   True
    C1    C17 -105.6102  0.001 -106.2214  -104.999   True
    C1    C18 -105.3885  0.001 -105.9996 -104.7773   True
    C1    C19 -105.8969  0.001  -106.508 -105.2857   True
    C1     C2  -16.0277  0.001  -16.6388  -15.4165   True
    C1    C20 -105.9271  0.001 -106.5383  -105.316   True
    C1    C21 -106.1892  0.001 -106.8003  -105.578   True
    C1    C22 -106.2949  0.001 -106.9061 -105.6837   True
    C1    C23 -105.7205  0.001 -106.3316 -105.1093   True
    C1    C24 -105.9363  0.001 -106.5475 -105.3252   True
    C1    C25 -105.3363  0.001 -105.9475 -104.7251   True
    C1    C26 -105.8178  0.001  -106.429 -105.2067   True
    C1    C27  -106.421  0.001 -107.0321 -105.8098   True
    C1     C3  -32.5833  0.001  -33.1945  -31.9722   True
    C1     C4  -71.5033  0.001  -72.1145  -70.8922   True
    C1     C5   18.1927  0.001   17.5815   18.8038   True
    C1     C6    7.5173  0.001    6.9062    8.1285   True
    C1     C7  -18.3193  0.001  -18.9305  -17.7082   True
    C1     C8   -3.4139  0.001   -4.0251   -2.8028   True
    C1     C9   -23.865  0.001  -24.4762  -23.2538   True
   C10    C11   -1.0633  0.001   -1.6745   -0.4522   True
   C10    C12   -1.1722  0.001   -1.7834   -0.5611   True
   C10    C13   -0.2889    0.9   -0.9001    0.3222  False
   C10    C14   -0.5816 0.0825   -1.1927    0.0296  False
   C10    C15     -0.56 0.1157   -1.1712    0.0512  False
   C10    C16   -1.0035  0.001   -1.6147   -0.3923   True
   C10    C17   -1.2706  0.001   -1.8817   -0.6594   True
   C10    C18   -1.0489  0.001     -1.66   -0.4377   True
   C10    C19   -1.5572  0.001   -2.1684   -0.9461   True
   C10     C2    88.312  0.001   87.7008   88.9231   True
   C10    C20   -1.5875  0.001   -2.1987   -0.9763   True
   C10    C21   -1.8496  0.001   -2.4607   -1.2384   True
   C10    C22   -1.9553  0.001   -2.5665   -1.3441   True
   C10    C23   -1.3808  0.001    -1.992   -0.7697   True
   C10    C24   -1.5967  0.001   -2.2079   -0.9856   True
   C10    C25   -0.9967  0.001   -1.6078   -0.3855   True
   C10    C26   -1.4782  0.001   -2.0894   -0.8671   True
   C10    C27   -2.0814  0.001   -2.6925   -1.4702   True
   C10     C3   71.7563  0.001   71.1451   72.3674   True
   C10     C4   32.8363  0.001   32.2251   33.4474   True
   C10     C5  122.5323  0.001  121.9211  123.1434   True
   C10     C6   111.857  0.001  111.2458  112.4681   True
   C10     C7   86.0203  0.001   85.4091   86.6314   True
   C10     C8  100.9257  0.001  100.3145  101.5369   True
   C10     C9   80.4746  0.001   79.8635   81.0858   True
   C11    C12   -0.1089    0.9   -0.7201    0.5023  False
   C11    C13    0.7744 0.0021    0.1632    1.3856   True
   C11    C14    0.4818 0.3303   -0.1294    1.0929  False
   C11    C15    0.5033 0.2547   -0.1078    1.1145  False
   C11    C16    0.0598    0.9   -0.5513     0.671  False
   C11    C17   -0.2073    0.9   -0.8184    0.4039  False
   C11    C18    0.0145    0.9   -0.5967    0.6256  False
   C11    C19   -0.4939 0.2866   -1.1051    0.1172  False
   C11     C2   89.3753  0.001   88.7641   89.9864   True
   C11    C20   -0.5242 0.1934   -1.1353     0.087  False
   C11    C21   -0.7862 0.0016   -1.3974   -0.1751   True
   C11    C22    -0.892  0.001   -1.5031   -0.2808   True
   C11    C23   -0.3175    0.9   -0.9287    0.2936  False
   C11    C24   -0.5334 0.1707   -1.1446    0.0778  False
   C11    C25    0.0666    0.9   -0.5445    0.6778  False
   C11    C26   -0.4149 0.6018   -1.0261    0.1963  False
   C11    C27    -1.018  0.001   -1.6292   -0.4069   True
   C11     C3   72.8196  0.001   72.2084   73.4308   True
   C11     C4   33.8996  0.001   33.2884   34.5108   True
   C11     C5  123.5956  0.001  122.9844  124.2068   True
   C11     C6  112.9203  0.001  112.3091  113.5314   True
   C11     C7   87.0836  0.001   86.4724   87.6948   True
   C11     C8   101.989  0.001  101.3779  102.6002   True
   C11     C9   81.5379  0.001   80.9268   82.1491   True
   C12    C13    0.8833  0.001    0.2721    1.4944   True
   C12    C14    0.5907 0.0711   -0.0205    1.2018  False
   C12    C15    0.6122 0.0491    0.0011    1.2234   True
   C12    C16    0.1687    0.9   -0.4424    0.7799  False
   C12    C17   -0.0984    0.9   -0.7095    0.5128  False
   C12    C18    0.1234    0.9   -0.4878    0.7345  False
   C12    C19    -0.385  0.717   -0.9962    0.2261  False
   C12     C2   89.4842  0.001    88.873   90.0953   True
   C12    C20   -0.4153 0.6003   -1.0265    0.1959  False
   C12    C21   -0.6773  0.015   -1.2885   -0.0662   True
   C12    C22   -0.7831 0.0017   -1.3942   -0.1719   True
   C12    C23   -0.2086    0.9   -0.8198    0.4025  False
   C12    C24   -0.4245 0.5648   -1.0357    0.1867  False
   C12    C25    0.1755    0.9   -0.4356    0.7867  False
   C12    C26    -0.306    0.9   -0.9172    0.3052  False
   C12    C27   -0.9091  0.001   -1.5203    -0.298   True
   C12     C3   72.9285  0.001   72.3173   73.5397   True
   C12     C4   34.0085  0.001   33.3973   34.6197   True
   C12     C5  123.7045  0.001  123.0933  124.3157   True
   C12     C6  113.0292  0.001   112.418  113.6403   True
   C12     C7   87.1925  0.001   86.5813   87.8037   True
   C12     C8  102.0979  0.001  101.4868  102.7091   True
   C12     C9   81.6468  0.001   81.0357    82.258   True
   C13    C14   -0.2926    0.9   -0.9038    0.3185  False
   C13    C15   -0.2711    0.9   -0.8822    0.3401  False
   C13    C16   -0.7146 0.0072   -1.3257   -0.1034   True
   C13    C17   -0.9816  0.001   -1.5928   -0.3705   True
   C13    C18   -0.7599 0.0028   -1.3711   -0.1488   True
   C13    C19   -1.2683  0.001   -1.8795   -0.6571   True
   C13     C2   88.6009  0.001   87.9897   89.2121   True
   C13    C20   -1.2986  0.001   -1.9097   -0.6874   True
   C13    C21   -1.5606  0.001   -2.1718   -0.9495   True
   C13    C22   -1.6664  0.001   -2.2775   -1.0552   True
   C13    C23   -1.0919  0.001   -1.7031   -0.4807   True
